Location Name,Accessible,PRECINCT,PRECINCT2,PRECINCT3,PRECINCT4,PRECINCT5,PRECINCT6,Address,City,X,Y,Location 1
BURBANK SCHOOL,Y,9400009,,,,,,8235 S LINDER AVE,BURBANK,-87.7581405815,41.7427384891,"(41.7427384891, -87.7581405815)"
TOBIN SCHOOL,Y,9400011,,,,,,8501 S NARRAGANSETT AVE,BURBANK,-87.7789419529,41.7368136349,"(41.7368136349, -87.7789419529)"
MADDOCK SCHOOL,Y,9400012,,,,,,8258 SAYRE AVE,BURBANK,-87.7946108912,41.7416414685,"(41.7416414685, -87.7946108912)"
AERO SPCL EDUCATION,Y,9400013,,,,,,7600 S MASON AVE,BURBANK,-87.7694509227,41.7534938627,"(41.7534938627, -87.7694509227)"
MC CORD SCHOOL,Y,9400014,,,,,,8450 S NASHVILLE AVE,BURBANK,-87.7847383963,41.7383125921,"(41.7383125921, -87.7847383963)"
RICHARD E BYRD SCHOOL,y,9400015,,,,,,8259 S LAVERGNE AVE,BURBANK,-87.7448092833,41.7426651968,"(41.7426651968, -87.7448092833)"
HOME SCHOOL,Y,9400019,9400016,,,,,4400 HOME AVE,STICKNEY,-87.7971606168,41.8121615963,"(41.8121615963, -87.7971606168)"
EDISON SCHOOL,Y,9400002,,,,,,4100 SCOVILLE AVE,BERWYN,-87.7862837594,41.8177865955,"(41.8177865955, -87.7862837594)"
STICKNEY TOWNSHIP NORTH CLINIC,Y,9400017,,,,,,6721 W 40TH ST,STICKNEY,-87.7910867675,41.8195221681,"(41.8195221681, -87.7910867675)"
WHEELING TOWERS,Y,9600001,,,,,,200   MILWAUKEE AVE,WHEELING,-87.9100836214,42.1441200322,"(42.1441200322, -87.9100836214)"
FRONTIER PARK,Y,9600002,9600090,,,,,1933  N KENNICOTT,ARLINGTON HEIGHTS,-87.9943260163,42.1117600767,"(42.1117600767, -87.9943260163)"
LUTHERAN HOME,Y,9600003,9600010,,,,,800  W OAKTON ST,ARLINGTON HEIGHTS,-87.9925429968,42.0960215323,"(42.0960215323, -87.9925429968)"
PIONEER PARK,Y,9600007,9600014,9600041,,,,500 S FERNANDEZ,ARLINGTON HEIGHTS,-87.9925371263,42.0761027603,"(42.0761027603, -87.9925371263)"
FIRST PRESBYTERIAN CHURCH,Y,9600005,9600031,9600069,,,,302  N DUNTON,ARLINGTON HEIGHTS,-87.9834048734,42.0860911824,"(42.0860911824, -87.9834048734)"
LIVING CHRIST LUTHERAN CHURCH,N,9600006,,,,,,625  E DUNDEE RD,ARLINGTON HEIGHTS,-87.9731184699,42.1385001138,"(42.1385001138, -87.9731184699)"
AMVETS POST 66,Y,9600009,9600033,,,,,700   MC HENRY RD,WHEELING,-87.9461778802,42.1480280621,"(42.1480280621, -87.9461778802)"
ROBERT FROST SCHOOL,Y,9600012,,,,,,1805   ASPEN DR,MOUNT PROSPECT,-87.8992278021,42.0999892681,"(42.0999892681, -87.8992278021)"
OLIVE TREE CONGREGATION,Y,9600013,9600047,,,,,400  N ELMHURST RD,PROSPECT HEIGHTS,-87.9373667632,42.1029518214,"(42.1029518214, -87.9373667632)"
GOEDKE HOUSE SENIOR CENTER,Y,9600015,,,,,,215  W MINER ST,ARLINGTON HEIGHTS,-87.9867953444,42.0842995863,"(42.0842995863, -87.9867953444)"
BOOTH TARKINGTON,Y,9600017,9600079,,,,,310 S SCOTT,WHEELING,-87.950747181,42.1334061768,"(42.1334061768, -87.950747181)"
FRIEDRICHS FUNERAL HOME,Y,9600018,,,,,,3  N RIDGE,MOUNT PROSPECT,-87.9419570803,42.0666743126,"(42.0666743126, -87.9419570803)"
WINDSOR SCHOOL,Y,9600020,,,,,,1315  E MINER ST,ARLINGTON HEIGHTS,-87.9670627127,42.0841353246,"(42.0841353246, -87.9670627127)"
JESURUN PRESBYTERIAN CHURCH,Y,9600021,9600058,,,,,2107  E RAND RD,ARLINGTON HEIGHTS,-87.9586370068,42.0973421704,"(42.0973421704, -87.9586370068)"
LA HANSON PUBLIC WORK CENTER,Y,9600022,,,,,,222 N RIDGE AVE,ARLINGTON HEIGHTS,-87.9907709533,42.0832361557,"(42.0832361557, -87.9907709533)"
KNIGHTS OF COLUMBUS,Y,9600026,,,,,,15 N HICKORY AVE,ARLINGTON HEIGHTS,-87.9740213831,42.0823071782,"(42.0823071782, -87.9740213831)"
MARK TWAIN SCHOOL,Y,9600037,,,,,,515   MERLE LN,WHEELING,-87.9315248104,42.1295750317,"(42.1295750317, -87.9315248104)"
WHEELING TOWNSHIP,N,9600040,9600068,,,,,1616 N ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,-87.9819486601,42.1083752575,"(42.1083752575, -87.9819486601)"
FAIRVIEW SCHOOL,Y,9600025,9600039,9600045,9600059,,,300  N FAIRVIEW,MOUNT PROSPECT,-87.9459021668,42.0725877719,"(42.0725877719, -87.9459021668)"
FIRST KOREAN UNITED METHODIST CHURCH,Y,9600076,,,,,,655 E HINTZ RD,WHEELING,-87.8998680686,42.1236221305,"(42.1236221305, -87.8998680686)"
PATTON SCHOOL,Y,9600032,,,,,,1616 N PATTON AVE,ARLINGTON HEIGHTS,-87.9966725746,42.1069563003,"(42.1069563003, -87.9966725746)"
WALT WHITMAN SCHOOL,Y,9600049,,,,,,133  S WILLE AVE,WHEELING,-87.9092092723,42.1378215329,"(42.1378215329, -87.9092092723)"
AMERICAN LEGION POST 208,Y,9600036,,,,,,121   DOUGLAS AVE,ARLINGTON HEIGHTS,-87.9750015505,42.0842384692,"(42.0842384692, -87.9750015505)"
JOYCE KILMER SCHOOL,Y,9600038,,,,,,655   GOLFVIEW TERRACE,BUFFALO GROVE,-87.9645179389,42.1420977612,"(42.1420977612, -87.9645179389)"
NORTHWEST ASSEMBLY OF GOD CHURCH,Y,9600042,,,,,,900  N WOLF RD,MOUNT PROSPECT,-87.9083462893,42.0812745427,"(42.0812745427, -87.9083462893)"
RIVER TRAILS CONDO ASSN,Y,9600043,9600077,9600080,,,,811   APPLE DR,PROSPECT HEIGHTS,-87.8945061777,42.1060415409,"(42.1060415409, -87.8945061777)"
FIRST METH CHURCH OF ARL HGTS,Y,9600046,,,,,,1903  E EUCLID AVE,ARLINGTON HEIGHTS,-87.9595486637,42.0876929009,"(42.0876929009, -87.9595486637)"
JACK LONDON JR HIGH SCHOOL,Y,9600048,9600050,,,,,1001  W DUNDEE RD,WHEELING,-87.9419421278,42.1386026995,"(42.1386026995, -87.9419421278)"
KINGSWOOD UNITED METHODIST CHURCH,Y,9600051,9600063,,,,,401  W DUNDEE RD,BUFFALO GROVE,-87.968123691,42.1385389224,"(42.1385389224, -87.968123691)"
ZION METHODIST CHURCH,Y,9600052,9600060,,,,,106  E COLLEGE DR,ARLINGTON HEIGHTS,-87.9815436461,42.131061358,"(42.131061358, -87.9815436461)"
SOUTHMINISTER PRESBYTERIAN CHURCH,Y,9600023,9600082,,,,,916 E CENTRAL ROAD,ARLINGTON HEIGHTS,-87.9713552789,42.0672648627,"(42.0672648627, -87.9713552789)"
EUCLID SCHOOL,Y,9600084,,,,,,1211   WHEELING RD,MOUNT PROSPECT,-87.9264927735,42.0873079688,"(42.0873079688, -87.9264927735)"
ARLINGTON CLUB CONDOS,Y,9600055,,,,,,1610   NEWBURN COURT,WHEELING,-87.9564489544,42.1433708997,"(42.1433708997, -87.9564489544)"
RIVER TRAILS MIDDLE SCHOOL,Y,9600056,,,,,,1000   NORTH WOLF RD,MOUNT PROSPECT,-87.9083108341,42.083295688,"(42.083295688, -87.9083108341)"
OUR SAVIOUR'S LUTH CHURCH,Y,9600008,9600034,9600057,,,,1234  N ARLINGTON HEIGHTS,ARLINGTON HEIGHTS,-87.9809527312,42.0987817384,"(42.0987817384, -87.9809527312)"
CAMELOT PARK,Y,9600044,9600087,,,,,1005 E SUFFIELD,ARLINGTON HEIGHTS,-87.9705129668,42.1210996542,"(42.1210996542, -87.9705129668)"
PROSPECT HIGH SCHOOL,Y,9600078,,,,,,801  W KENSINGTON RD,MOUNT PROSPECT,-87.950885471,42.0802583837,"(42.0802583837, -87.950885471)"
CHICAGO FUTABAKAI JAPANESE SCH,Y,9600062,9600053,,,,,2550  N ARLINGTON HTS RD,ARLINGTON HEIGHTS,-87.9813646094,42.121678109,"(42.121678109, -87.9813646094)"
MARVIN S WEISS COMMUNITY CENTER,Y,9600083,,,,,,1500 E EUCLID AVE,MOUNT PROSPECT,-87.913454458,42.0887309575,"(42.0887309575, -87.913454458)"
BUFFALO GROVE H S,Y,9600066,,,,,,1100   DUNDEE RD,BUFFALO GROVE,-87.984297731,42.1398528744,"(42.1398528744, -87.984297731)"
RILEY SCHOOL,Y,9600092,,,,,,1209   BURR OAK DR,ARLINGTON HEIGHTS,-87.9674218233,42.1281430158,"(42.1281430158, -87.9674218233)"
BUFFALO GROVE PARK DIST,Y,9600072,,,,,,530   BERNARD DR,BUFFALO GROVE,-87.9710534322,42.1471740252,"(42.1471740252, -87.9710534322)"
GREENBRIER SCHOOL,Y,9600073,,,,,,2330  N VERDE AVE,ARLINGTON HEIGHTS,-87.9983677244,42.1193514943,"(42.1193514943, -87.9983677244)"
EUGENE FIELD SCHOOL,Y,9600004,9600074,,,,,51   ST ARMAND LN,WHEELING,-87.9441670773,42.1404587051,"(42.1404587051, -87.9441670773)"
INDIAN GROVE SCHOOL,Y,9600075,,,,,,1340   BURNING BUSH LN,MOUNT PROSPECT,-87.8985263563,42.0904863762,"(42.0904863762, -87.8985263563)"
FOREST RIVER CIVIC ASSO,Y,9600011,,,,,,207   LEE STREET,MOUNT PROSPECT,-87.8973330346,42.0741442255,"(42.0741442255, -87.8973330346)"
RIVER TRAILS PARK DIST,Y,9600085,,,,,,1313  N BURNING BUSH LN,MOUNT PROSPECT,-87.8973054505,42.0889269601,"(42.0889269601, -87.8973054505)"
PROSPECT HGHTS PBLC LBRY,Y,9600028,,,,,,12  N ELM ST,PROSPECT HEIGHTS,-87.9421658498,42.0969784472,"(42.0969784472, -87.9421658498)"
EDGAR ALLEN POE SCHOOL,Y,9600071,,,,,,2800   HIGHLAND,ARLINGTON HEIGHTS,-87.9856211399,42.1269618046,"(42.1269618046, -87.9856211399)"
COOPER JR HIGH SCHOOL,Y,9600064,9600091,,,,,1050  W PLUM GROVE CIR,BUFFALO GROVE,-87.9829769725,42.1496309768,"(42.1496309768, -87.9829769725)"
VILLAGE OF WHEELING,Y,9600088,,,,,,2  COMMUNITY BLVD,WHEELING,-87.923339453,42.1387606391,"(42.1387606391, -87.923339453)"
OUR REDEEMER LUTHERAN CHURCH,Y,9600027,,,,,,304  W PALATINE RD,PROSPECT HEIGHTS,-87.945590574,42.1103568893,"(42.1103568893, -87.945590574)"
OLD ORCHARD COUNTRY CLUB VILLAGE,Y,9600086,,,,,,801 BUTTERNUT,MOUNT PROSPECT,-87.9474964755,42.0940770124,"(42.0940770124, -87.9474964755)"
LUTHER VILLAGE,Y,9600024,,,,,,1250   VILLAGE DR,ARLINGTON HEIGHTS,-87.992623363,42.0985548428,"(42.0985548428, -87.992623363)"
CAMBRIDGE ON THE LAKE,Y,9600070,,,,,,125   LAKE BLVD,BUFFALO GROVE,-87.9541530484,42.1381296451,"(42.1381296451, -87.9541530484)"
ST ALPHONSUS CHURCH,Y,9600061,,,,,,411  N  WHEELING RD,PROSPECT HEIGHTS,-87.9262593752,42.1031901241,"(42.1031901241, -87.9262593752)"
MAC ARTHUR JR H S,Y,9600030,,,,,,700  N SCHOENBECK RD,PROSPECT HEIGHTS,-87.9484280124,42.1094035681,"(42.1094035681, -87.9484280124)"
LEXINGTON COMMUNITY CENTER,Y,9600089,,,,,,548 LEXINGTON DR,WHEELING,-87.9426814128,42.1487996153,"(42.1487996153, -87.9426814128)"
LONGFELLOW SCHOOL,Y,9600081,,,,,,501  N ARLINGTON HEIGHTS RD,BUFFALO GROVE,-87.9848910726,42.1447642088,"(42.1447642088, -87.9848910726)"
LUTHERAN CHURCH OF GOOD SHEPHERD,Y,9600029,9600054,,,,,1111  N ELMHURST RD,PROSPECT HEIGHTS,-87.9362908378,42.1221542492,"(42.1221542492, -87.9362908378)"
CHAMBER PARK,Y,9600067,,,,,,213  N WOLF RD,WHEELING,-87.9151983064,42.1422980555,"(42.1422980555, -87.9151983064)"
WILLOW HEIGHTS CONDOS,P,9600016,,,,,,844 OLD WILLOW,PROSPECT HEIGHTS,-87.8959530359,42.102752775,"(42.102752775, -87.8959530359)"
CHURCH CREEK,Y,9600035,,,,,,1250  W CENTRAL RD,ARLINGTON HEIGHTS,-87.9958080185,42.0672229625,"(42.0672229625, -87.9958080185)"
ST. SIMONS EPISCOPAL CHURCH,,9600019,,,,,,717 W. KIRCHOFF RD,ARLINGTON HEIGHTS,-87.9925479083,42.0695543269,"(42.0695543269, -87.9925479083)"
GRACE LUTHERAN CHURCH,,9600065,,,,,,1624 E EUCLID AVE,MOUNT PROSPECT,-87.9090057137,42.0885071891,"(42.0885071891, -87.9090057137)"
MENARD ACTIVITY CENTER,Y,9700001,,,,,,5800   90TH ST,OAK LAWN,-87.7661540469,41.7290913419,"(41.7290913419, -87.7661540469)"
JACOBS WELL COMMUNITY CHURCH,Y,9700039,,,,,,3450 W MAPLE AVE,EVERGREEN PARK,-87.7088136475,41.7156693636,"(41.7156693636, -87.7088136475)"
RIDGE LAWN SCHOOL,Y,9700004,,,,,,5757  W 105TH ST,CHICAGO RIDGE,-87.7635919009,41.7009205376,"(41.7009205376, -87.7635919009)"
KOLMAR SCHOOL,Y,9700005,9700049,,,,,10425  S KOLMAR AVE,OAK LAWN,-87.7334972981,41.7035719495,"(41.7035719495, -87.7334972981)"
VILLAGE OF WORTH,Y,9700006,,,,,,7112  W 111TH ST,WORTH,-87.7960579284,41.6904618236,"(41.6904618236, -87.7960579284)"
,Y,9700007,,,,,,12001  S OAK PARK AVE,PALOS HEIGHTS,-87.7869780825,41.6736433296,"(41.6736433296, -87.7869780825)"
HAROLD L RICHARDS HIGH SCHOOL,Y,9700028,9700098,,,,,10601  S CENTRAL AVE,OAK LAWN,-87.7589843094,41.6995797326,"(41.6995797326, -87.7589843094)"
CENTRAL JR HIGH SCHOOL,Y,9700031,,,,,,9400  S SAWYER AVE,EVERGREEN PARK,-87.7036458745,41.7220995351,"(41.7220995351, -87.7036458745)"
EVERGREEN PARK ACTIVITIES CNTR,Y,9700013,,,,,,3220  W 98TH ST,EVERGREEN PARK,-87.7030375948,41.7157085653,"(41.7157085653, -87.7030375948)"
VETERANS MEMORIAL,Y,9700014,9700017,,,,,12320  S GREENWOOD AVE,BLUE ISLAND,-87.6833727289,41.669386554,"(41.669386554, -87.6833727289)"
HAZELGREEN SCHOOL,Y,9700012,9700016,,,,,11751  S LAWLER AVE,ALSIP,-87.7448381787,41.6789264984,"(41.6789264984, -87.7448381787)"
CITY HALL EAST ANNEX,Y,9700019,,,,,,2434 VERMONT ST,BLUE ISLAND,-87.681372367,41.6558771613,"(41.6558771613, -87.681372367)"
DWIGHT D EISENHOWER H S,Y,9700020,9700024,,,,,12700  S SACRAMENTO AVE,BLUE ISLAND,-87.6954416696,41.6620170834,"(41.6620170834, -87.6954416696)"
ERNEST F. KOLB,Y,9700021,,,,,,9620  S NORMANDY AVE,OAK LAWN,-87.787627482,41.7172401608,"(41.7172401608, -87.787627482)"
NEW HOPE CHURCH,Y,9700022,,,,,,5100  W 115TH ST,ALSIP,-87.7476289039,41.6838832548,"(41.6838832548, -87.7476289039)"
ROBERTON BUILDING,N,9700047,,,,,,8770 PULASKI,HOMETOWN,-87.7217588817,41.7331824236,"(41.7331824236, -87.7217588817)"
ALSIP HERITAGE APTS.,N,9700097,,,,,,11949B RIDGEWAY AVE,ALSIP,-87.7130547844,41.6758712374,"(41.6758712374, -87.7130547844)"
JOHNSON PHELPS VFW POST 5220,Y,9700046,,,,,,9514  S 52ND AVE,OAK LAWN,-87.751003973,41.7194391196,"(41.7194391196, -87.751003973)"
APOLLO PARK,Y,9700008,9700034,,,,,12521  S KOSTNER,ALSIP,-87.7284367426,41.6653697968,"(41.6653697968, -87.7284367426)"
VILLAGE OF EVERGREEN PARK,Y,9700032,9700054,,,,,3450  W 97TH ST,EVERGREEN PARK,-87.708436586,41.717476426,"(41.717476426, -87.708436586)"
COLUMBUS MANOR SCHOOL,Y,9700027,9700033,,,,,9700  S MAYFIELD AVE,OAK LAWN,-87.76805544,41.7155204104,"(41.7155204104, -87.76805544)"
NAVAJO HEIGHTS SCHOOL,Y,9700018,,,,,,12401  S OAK PARK AVE,PALOS HEIGHTS,-87.7868687189,41.6663131074,"(41.6663131074, -87.7868687189)"
SWARD SCHOOL,Y,9700035,,,,,,9830  S BRANDT AVE,OAK LAWN,-87.7451960828,41.7135532037,"(41.7135532037, -87.7451960828)"
SALEM UNITED CHURCH OF CHRIST,Y,9700036,9700048,,,,,9717  S KOSTNER AVE,OAK LAWN,-87.7303982239,41.7161386219,"(41.7161386219, -87.7303982239)"
ST BERNADETTE QUONSET HALL,Y,9700038,,,,,,9339  S FRANCISCO ST,EVERGREEN PARK,-87.6939542098,41.7235446069,"(41.7235446069, -87.6939542098)"
TRINITY EVANGELICAL LUTHERAN CHURCH,Y,9700003,,,,,,9701 S BRANDT,OAK LAWN,-87.7444466824,41.7160194061,"(41.7160194061, -87.7444466824)"
HARNEW SCHOOL,Y,9700030,9700044,9700094,,,,9101  S MEADE AVE,OAK LAWN,-87.7716414993,41.7264253057,"(41.7264253057, -87.7716414993)"
INCARNATION CHURCH,Y,9700042,9700079,,,,,5757  W 127TH ST,PALOS HEIGHTS,-87.7622016748,41.6608517874,"(41.6608517874, -87.7622016748)"
TURNER SCHOOL,Y,9700043,,,,,,3847  W 135TH,ROBBINS,-87.715301254,41.6469577919,"(41.6469577919, -87.715301254)"
SOUTHWEST SCHOOL,Y,9700045,,,,,,9900   CENTRAL PARK AVE,EVERGREEN PARK,-87.7118820382,41.7129039388,"(41.7129039388, -87.7118820382)"
NATHAN HALE PRIMARY SCHOOL,Y,9700023,9700050,,,,,5324 W 135TH ST,CRESTWOOD,-87.7509754151,41.6472248708,"(41.6472248708, -87.7509754151)"
WORTH ELEM SCHOOL,Y,9700067,9700081,,,,,11158  S OAK PARK AVE,WORTH,-87.7891034403,41.689293449,"(41.689293449, -87.7891034403)"
NORTHWEST SCHOOL,Y,9700052,9700072,,,,,92ND & MILLARD,MERRIONETTE PARK,-87.7130504611,41.7264659557,"(41.7264659557, -87.7130504611)"
EVERGREEN PARK PRESBYTERIAN CHURCH,Y,9700029,,,,,,8859  S FRANCISCO AVE,EVERGREEN PARK,-87.6941156427,41.7323119796,"(41.7323119796, -87.6941156427)"
SOUTH SIDE BAPTIST SCHOOL,Y,9700056,,,,,,5220  W 105TH ST,OAK LAWN,-87.7508901747,41.7021865869,"(41.7021865869, -87.7508901747)"
EVERGREEN HEALTH CARE,Y,9700057,,,,,,10124  S KEDZIE AVE,EVERGREEN PARK,-87.7020648947,41.7089346859,"(41.7089346859, -87.7020648947)"
ALSIP HERITAGE II APTS,Y,9700059,,,,,,3715  W 123RD PL,ALSIP,-87.7139506939,41.6681056599,"(41.6681056599, -87.7139506939)"
NORTHEAST SCHOOL,Y,9700037,,,,,,91ST ST & CALIFORNIA AVE,EVERGREEN PARK,-87.6927359998,41.7287400898,"(41.7287400898, -87.6927359998)"
GRACE COMMUNITY CHURCH,Y,9700062,9700077,,,,,10415  S KEDVALE AVE,OAK LAWN,-87.7239144336,41.7034923565,"(41.7034923565, -87.7239144336)"
CHIPPEWA SCHOOL,Y,9700064,,,,,,12425  S AUSTIN AVE,PALOS HEIGHTS,-87.7675421274,41.6651917594,"(41.6651917594, -87.7675421274)"
PALOS HEIGHTS REC CENTER,Y,9700065,9700095,,,,,6601  W 127TH ST,PALOS HEIGHTS,-87.7831304066,41.6604159886,"(41.6604159886, -87.7831304066)"
SIMMONS SCHOOL,Y,9700026,,,,,,6450  W 95TH ST,OAK LAWN,-87.781679236,41.7199789713,"(41.7199789713, -87.781679236)"
GREENBRIAR SCHOOL,Y,9700068,,,,,,12015   MAPLE AVE,BLUE ISLAND,-87.6850677238,41.6749130467,"(41.6749130467, -87.6850677238)"
IMMANUEL UNITED CHURCH OF CHRIST,Y,9700069,,,,,,9815   CAMPBELL AVE,EVERGREEN PARK,-87.6838456547,41.715078489,"(41.715078489, -87.6838456547)"
RIDGE CENTRAL ELEM SCHOOL,Y,9700061,9700070,,,,,10800   LYMAN AVE,CHICAGO RIDGE,-87.7721911315,41.6952953734,"(41.6952953734, -87.7721911315)"
WORTH TWP,Y,9700015,,,,,,11601  S PULASKI RD,ALSIP,-87.7194658717,41.6824991985,"(41.6824991985, -87.7194658717)"
FIRST CHURCH OF GOD,Y,9700075,,,,,,4600  W 111TH ST,OAK LAWN,-87.7354599768,41.691311437,"(41.691311437, -87.7354599768)"
SOUTHEAST SCHOOL,Y,9700010,,,,,,98TH ST & S FRANCISCO AVE,EVERGREEN PARK,-87.6944539599,41.7141850727,"(41.7141850727, -87.6944539599)"
MEADOW LANE SCHOOL,Y,9700009,,,,,,11800   MEADOW LANE DR,MERRIONETTE PARK,-87.6973493593,41.6785119935,"(41.6785119935, -87.6973493593)"
EVERGREEN PARK PUBLIC WORKS,Y,9700080,,,,,,3125  W 89TH ST,EVERGREEN PARK,-87.7004228923,41.7312011318,"(41.7312011318, -87.7004228923)"
WORTHRIDGE SCHOOL,Y,9700051,,,,,,11218  S RIDGELAND AVE,WORTH,-87.7792120705,41.6881039838,"(41.6881039838, -87.7792120705)"
HOMETOWN SCHOOL,Y,9700053,9700082,,,,,8925 S KOSTNER AVE,HOMETOWN,-87.733224464,41.7303788712,"(41.7303788712, -87.733224464)"
LAWN MANOR SCHOOL,Y,9700041,9700084,,,,,4300  W 108TH PL,OAK LAWN,-87.7283224648,41.6961603191,"(41.6961603191, -87.7283224648)"
OAK LAWN HOMETOWN MIDDLE SCHOOL,Y,9700011,9700085,,,,,5345  W 99TH ST,OAK LAWN,-87.7541350266,41.7120973624,"(41.7120973624, -87.7541350266)"
LIEB ELEM SCHOOL,Y,9700074,9700086,,,,,9101   PEMBROKE LN,BRIDGEVIEW,-87.7911450547,41.726094228,"(41.726094228, -87.7911450547)"
PRAIRIE JR HIGH,Y,9700087,9700088,9700073,,,,11910  S KOSTNER AVE,ALSIP,-87.7299712227,41.6760399622,"(41.6760399622, -87.7299712227)"
ALAN B SHEPARD H S,Y,9700089,,,,,,13049  S RIDGELAND AVE,PALOS HEIGHTS,-87.7767302361,41.6552300298,"(41.6552300298, -87.7767302361)"
PARK LAWN SCHOOL,Y,9700091,,,,,,10833  S LA PORTE AVE,OAK LAWN,-87.7430888659,41.6957197445,"(41.6957197445, -87.7430888659)"
ELIM EVANGELICAL FREE CHURCH,Y,9700092,9700093,,,,,10000  S KOSTNER AVE,OAK LAWN,-87.7312962443,41.7109031305,"(41.7109031305, -87.7312962443)"
OAK VIEW CENTER,Y,9700100,,,,,,4625  W 110TH ST,OAK LAWN,-87.7358632933,41.692623514,"(41.692623514, -87.7358632933)"
WORTH PARK DISTRICT,Y,9700071,,,,,,10707  S OAK PARK AVE,WORTH,-87.7882740377,41.6969705507,"(41.6969705507, -87.7882740377)"
VILLAGE OF OAK LAWN,Y,9700025,,,,,,9446 S RAYMOND,OAK LAWN,-87.7532620487,41.7210044806,"(41.7210044806, -87.7532620487)"
COVINGTON SCHOOL,Y,9700002,9700058,9700099,,,,9130  S 52ND AVE,OAK LAWN,-87.7512827739,41.7260645231,"(41.7260645231, -87.7512827739)"
STONY CREEK GOLF COURSE,Y,9700060,,,,,,5850  W 103RD ST,OAK LAWN,-87.7658874146,41.7055441393,"(41.7055441393, -87.7658874146)"
HANNUM SCHOOL,Y,9700063,9700096,,,,,9800  S TRIPP AVE,OAK LAWN,-87.7277474889,41.7144349595,"(41.7144349595, -87.7277474889)"
PRIDE,Y,9700040,,,,,,4201  W 93RD ST,OAK LAWN,-87.7271476146,41.7236354389,"(41.7236354389, -87.7271476146)"
HAMLIN UPPER GRADE CENTER,Y,9700055,,,,,,12150  S HAMLIN AVE,ALSIP,-87.7153551703,41.6717421807,"(41.6717421807, -87.7153551703)"
VILLAGE OF CHICAGO RIDGE,Y,9700078,,,,,,10455  S RIDGELAND AVE,CHICAGO RIDGE,-87.778628387,41.7020878503,"(41.7020878503, -87.778628387)"
DAVID JOHNSTON CENTER,Y,9700066,9700076,,,,,9400   OAK PARK AVE,OAK LAWN,-87.7902320967,41.722094033,"(41.722094033, -87.7902320967)"
CHICAGO RIDGE FIRE DEPT HQ,Y,9700083,9700090,,,,,10063 VIRGINIA,CHICAGO RIDGE,-87.7918422128,41.7069714682,"(41.7069714682, -87.7918422128)"
MATHER PLACE OF WILMETTE,Y,8100021,,,,,,2801 OLD GLENVIEW RD,WILMETTE,-87.7450442439,42.0655785848,"(42.0655785848, -87.7450442439)"
WASHINGTON SCHOOL,Y,7800001,,,,,,4835  N MICHIGAN AVE,SCHILLER PARK,-87.867846719,41.9664491541,"(41.9664491541, -87.867846719)"
SCHILLER PARK FIRE STATION,Y,7800045,,,,,,9526   IRVING PARK RD,SCHILLER PARK,-87.8648449562,41.9550620186,"(41.9550620186, -87.8648449562)"
FRANKLIN PARK PUBLIC LIBRARY,Y,7800004,7800046,,,,,10311  W GRAND AVE,FRANKLIN PARK,-87.8821619107,41.9297154171,"(41.9297154171, -87.8821619107)"
EAST LEYDEN HIGH SCHOOL,Y,7800005,7800018,,,,,3400   ROSE ST,FRANKLIN PARK,-87.8662728023,41.9408502818,"(41.9408502818, -87.8662728023)"
FRANKLIN TOWERS,Y,7800007,,,,,,9535   FRANKLIN AVE,FRANKLIN PARK,-87.8647041607,41.9345885703,"(41.9345885703, -87.8647041607)"
AMERICAN LEGION REC CENTER,Y,7800019,,,,,,8664 GRAND AVE,RIVER GROVE,-87.8421863957,41.9298375886,"(41.9298375886, -87.8421863957)"
VILLAGE OF RIVER GROVE,Y,7800011,,,,,,2621  N THATCHER AVE,RIVER GROVE,-87.8353893765,41.9258868696,"(41.9258868696, -87.8353893765)"
GRACE PARK CONDOMINIUMS,Y,7800002,,,,,,9353 W IRVING PARK RD,SCHILLER PARK,-87.8617626229,41.9539459009,"(41.9539459009, -87.8617626229)"
MARGRET J LANGE MEMORIAL PARK,Y,7800012,,,,,,6140  N SCOTT ST,ROSEMONT,-87.8763529456,41.9908684434,"(41.9908684434, -87.8763529456)"
SCOTT SCHOOL,Y,7800048,,,,,,2250  N SCOTT ST,MELROSE PARK,-87.8751758714,41.9199586641,"(41.9199586641, -87.8751758714)"
NORTHLAKE COMM CENTER,Y,7800015,,,,,,316  N LA PORTE AVE,NORTHLAKE,-87.902815055,41.9127208996,"(41.9127208996, -87.902815055)"
PIETRINI SCHOOL,Y,7800016,,,,,,9750   FULLERTON AVE,FRANKLIN PARK,-87.8692010085,41.9227094817,"(41.9227094817, -87.8692010085)"
SCHILLER PK COMM CENTER,Y,7800017,,,,,,4501  N 25TH AVE,SCHILLER PARK,-87.8715425777,41.9613197063,"(41.9613197063, -87.8715425777)"
TRUMBULL PARK,Y,7800020,,,,,,2311   LEYDEN AVE,RIVER GROVE,-87.8447358713,41.9212945978,"(41.9212945978, -87.8447358713)"
CALVARY DEAF ASSEMBLY,Y,7800021,,,,,,1719  W NORTH AVE,MELROSE PARK,-87.8553483564,41.9084286172,"(41.9084286172, -87.8553483564)"
ELM SCHOOL,Y,7800009,7800022,7800026,,,,7607  W CORTLAND,ELMWOOD PARK,-87.8162734387,41.9137720335,"(41.9137720335, -87.8162734387)"
MARY SEAT OF WISDOM,Y,7800023,,,,,,1352 S CUMBERLAND AVE,PARK RIDGE,-87.8372385673,41.9931964828,"(41.9931964828, -87.8372385673)"
